,city,city_code,population_2021,area,roundabouts,rb_per_km2,rb_per_inhabitant
37,Aveiro,AVR,80880,197.58,16.0,0.08097985626075513,0.00019782393669634025
38,Avis,AVS,3813,605.97,2.0,0.003300493423766853,0.0005245213742460005
39,Azambuja,AZB,21421,262.66,3.0,0.011421609685525013,0.0001400494841510667
40,Baião,BAO,17527,174.53,4.0,0.0229186959262018,0.00022821931876533348
41,Barcelos,BCL,116777,378.9,14.0,0.03694906307732911,0.00011988662150937257
42,Barrancos,BRC,1435,168.42,1.0,0.005937537109606935,0.0006968641114982578
43,Barreiro,BRR,78362,36.39,1.0,0.027480076944215445,1.2761287358668743e-05
44,Batalha,BTL,15553,103.42,7.0,0.06768516727905627,0.00045007394071883237
45,Beja,BJA,33401,1106.44,23.0,0.02078739018835183,0.000688602137660549
46,Belmonte,BMT,6204,118.76,1.0,0.00842034355001684,0.00016118633139909736
47,Benavente,BNV,29747,521.38,1.0,0.0019179868809697342,3.361683531112381e-05
48,Bombarral,BBR,12743,91.29,7.0,0.07667871617920911,0.0005493211959507181
49,Borba,BRB,6428,145.19,1.0,0.00688752668916592,0.00015556938394523958
50,Boticas,BTC,5002,321.96,3.0,0.009317927692881103,0.0005997600959616154
51,Braga,BRG,193333,183.4,32.0,0.17448200654307525,0.00016551752675435648
52,Bragança,BGC,34580,1173.57,13.0,0.011077311110543045,0.00037593984962406017
53,Cabeceiras de Basto,CBC,15566,241.82,3.0,0.012405921759986767,0.00019272773994603623
54,Cadaval,CDV,13382,174.89,2.0,0.011435759620332782,0.00014945449110745777
55,Caldas da Rainha,CLD,50898,255.69,14.0,0.05475380343384567,0.00027505992376910686
56,Calheta  (Açores),CHT,3441,126.51,,,
57,Calheta  (Madeira),CLT,10913,115.65,,,
58,Câmara de Lobos,CML,32175,52.15,1.0,0.019175455417066157,3.108003108003108e-05
59,Caminha,CMN,15828,136.52,,,
60,Campo Maior,CMR,8045,247.2,1.0,0.004045307443365696,0.0001243008079552517
61,Cantanhede,CNT,34218,390.88,10.0,0.025583299222267705,0.000292243848266994
62,Carrazeda de Ansiães,CRZ,5494,279.24,,,
63,Carregal do Sal,CRS,9048,116.89,,,
64,Cartaxo,CTX,23211,158.17,4.0,0.02528924574824556,0.00017233208392572488
65,Cascais,CSC,214134,97.4,32.0,0.32854209445585214,0.00014943913624179252
66,Castanheira de Pera,CPR,2647,66.78,,,
67,Castelo Branco,CTB,52272,1438.19,54.0,0.037547194737830185,0.0010330578512396695
68,Castelo de Paiva,CPV,15597,115.01,,,
69,Castelo de Vide,CVD,3121,264.91,3.0,0.011324600807821524,0.0009612303748798462
70,Castro Daire,CDR,13753,379.04,5.0,0.013191219924018572,0.00036355704209990546
71,Castro Marim,CTM,6434,300.84,4.0,0.013296104241457255,0.0006216972334473111
72,Castro Verde,CVR,6878,569.44,10.0,0.0175611126720989,0.0014539110206455365
73,Celorico da Beira,CLB,6582,247.22,2.0,0.00808996035919424,0.00030385900941962927
74,Celorico de Basto,CBT,17666,181.07,,,
75,Chamusca,CHM,8536,746.01,,,
76,Chaves,CHV,37623,591.23,21.0,0.03551917189587808,0.0005581692050075751
77,Cinfães,CNF,17747,239.29,2.0,0.008358059258640143,0.00011269510339775736
78,Coimbra,CBR,140796,319.4,72.0,0.22542266750156545,0.0005113781641523907
79,Condeixa-a-Nova,CDN,16733,138.68,4.0,0.028843380444188056,0.00023904858662523158
80,Constância,CNS,3801,80.37,3.0,0.03732736095558044,0.0007892659826361484
81,Coruche,CCH,17375,1115.72,3.0,0.0026888466640375723,0.00017266187050359714
