municipios
Município;Código de três letras;População em 2021;Area em km^2;
Sousel;SSL;4358;279,32;
Tábua;TBU;11 163;199,79;
Tabuaço;TBC;5039;133,86;
Tarouca;TRC;7374;100,08;
Tavira;TVR;27 536;606,97;
Terras de Bouro;TBR;6359;277,46;
Tomar;TMR;36 444;351,2;
Tondela;TND;25 939;371,22;
Torre de Moncorvo;TMC;6822;531,56;
Torres Novas;TNV;34 149;270;
Torres Vedras;TVD;83 130;407,15;
Trancoso;TCS;8419;361,52;
Trofa;TRF;38 612;72,02;
Vagos;VGS;22 905;164,92;
Vale de Cambra;VLC;21 279;147,33;
Valença;VLN;13 634;117,13;
Valongo;VLG;94 795;75,12;
Valpaços;VLP;14 714;548,74;
Velas;VLS;4940;119,08;
Vendas Novas;VND;11 240;222,39;
Viana do Alentejo;VNT;5323;393,67;
Viana do Castelo;VCT;85 864;319,02;
Vidigueira;VDG;5177;316,61;
Vieira do Minho;VRM;11 970;218,05;
Vila de Rei;VLR;3276;191,55;
Vila do Bispo;VBP;5722;179,06;
Vila do Conde;VCD;80 921;149,03;
Vila do Porto;VPT;5414;97,18;
Vila Flor;VFL;6064;265,81;
Vila Franca de Xira;VFX;137 659;318,19;
Vila Franca do Campo;VFC;10 326;78,00;
Vila Nova da Barquinha;VNB;7035;49,53;
Vila Nova de Cerveira;VNC;8930;108,47;
Vila Nova de Famalicão;VNF;133 590;201,59;
Vila Nova de Foz Côa;VLF;6304;398,15;
Vila Nova de Gaia;VNG;304 149;168,46;
Vila Nova de Paiva;VNP;4660;175,53;
Vila Nova de Poiares;PRS;6813;84,45;
Vila Pouca de Aguiar;VPA;11 825;437,07;
Vila Real;VRL;49 623;378,80;
Vila Real de Santo António;VRS;18 828;61,25;
Vila Velha de Ródão;VVR;3287;329,91;
Vila Verde;VVD;46 474;228,67;
Vila Viçosa;VVC;7385;194,86;
Vimioso;VMS;4154;481,59;
Vinhais;VNH;7772;694,76;
Viseu;VIS;99 693;507,10;
Vizela;VIZ;23 903;24,70;
Vouzela;VZL;9588;193,69;
