roundabout_id,osm_way_ids,latitude,longitude,municipality,city_code
113,"[20211290, 317542297, 317542298]",41.541352356,-8.372954675999999,Braga,BRG
114,"[20329230, 1327496803, 1327496804, 1327496805]",40.19830464166666,-8.397351620833334,Coimbra,CBR
115,[20330418],40.0958761625,-8.32321374375,Miranda do Corvo,MCV
116,"[20472649, 1013955846, 1013955847, 1013955853, 1020328410, 1184836556]",38.570589065,-8.904254474999998,Palmela,PLM
117,[20841697],40.23909394166667,-8.435323695833333,Coimbra,CBR
118,[20937443],40.20033289375,-8.39855615,Coimbra,CBR
119,[21057511],40.192332199999996,-8.50764621,Coimbra,CBR
120,"[21059552, 1222984219, 1222984220, 1222984221, 1498254378]",40.065325040909094,-8.61994225,Soure,SRE
121,"[21062023, 245075827, 245077750, 317815524, 481135252, 481135254]",41.542350271875,-8.4316286875,Braga,BRG
122,"[21583087, 1323274723, 1323274724]",41.54701417692308,-8.397475492307693,Braga,BRG
123,"[21583636, 317809012, 321639546, 321639548, 321650890, 1264343871, 1302294187, 1302294188]",41.548307285,-8.40317219,Braga,BRG
124,[21854858],41.54486166086957,-8.399244443478262,Braga,BRG
125,[21855082],41.542092819354835,-8.399007258064517,Braga,BRG
126,"[22278621, 1498254355, 1498254356, 1498254357, 1498254358, 1498254359, 1498254360]",40.0641096375,-8.618947695833333,Soure,SRE
127,[22330832],40.22741145652174,-8.44571771304348,Coimbra,CBR
128,[22355274],40.380812061363635,-8.449375850000001,Mealhada,MLD
129,"[22355982, 1548701459, 1548701460, 1548701461, 1548701462, 1548701463, 1548701464, 1548701465]",40.377847279166666,-8.449713341666667,Mealhada,MLD
130,[22356838],40.37548671363636,-8.450013945454545,Mealhada,MLD
131,"[22358162, 1361404850, 1426612177]",40.367054373076925,-8.454621453846155,Mealhada,MLD
132,[22529517],41.54012376896553,-8.398586031034485,Braga,BRG
133,"[22575580, 608022295]",41.53638017647059,-8.403252847058823,Braga,BRG
134,"[22575925, 244962472, 244962473, 244962474, 1059407076, 1475247982, 1475247983, 1475248129, 1475248130]",41.56283627727274,-8.383951122727273,Braga,BRG
135,"[22604637, 321830813, 321830814, 321830815]",41.56651926875,-8.371762956249999,Braga,BRG
136,[22605694],41.57350597,-8.368641946666665,Braga,BRG
137,"[22617364, 801350125, 801350126, 1212216428, 1212216440, 1212216441, 1426163443]",41.56538905897436,-8.432612123076924,Braga,BRG
138,"[22696524, 1275025324, 1275025325, 1299671378]",38.701457986363636,-9.417596695454545,Cascais,CSC
139,"[22747813, 1068769606, 1068769607, 1349656018, 1349656019]",38.520186900000006,-8.848964463636365,Setúbal,STB
140,"[22780590, 1013912741, 1013912763, 1013919083, 1013927604, 1042080604, 1042080606, 1203956878]",38.702083452173916,-8.94454646521739,Montijo,MTJ
141,[22918560],40.252840581818184,-8.464859936363636,Coimbra,CBR
142,[22920115],40.06499029333333,-8.62745574,Soure,SRE
143,"[22927998, 888050671, 888050672, 1387775652, 1387775653, 1387775720, 1387775721, 1387775722]",39.735392357692305,-8.79921623076923,Leiria,LRA
144,"[22935398, 1007608196, 1302043523, 1302043524]",38.7857866,-9.099833977272729,Lisboa,LSB
145,"[22936365, 592053401, 592053402, 592053403, 592053406, 592053407, 1340380024, 1340380025, 1340380026, 1340380027, 1342769390]",38.84890691714285,-9.088840174285714,Loures,LRS
146,"[22942025, 846998732, 942013338, 942013339]",38.736368468181816,-9.172068668181817,Lisboa,LSB
147,"[22944563, 624924169, 624924172, 628604945, 628604947, 629108077, 629145181, 681291328, 681511474, 683284808, 692336825, 736366963, 736366964, 1227753206, 1347309991]",38.774098081666665,-9.105334858333332,Lisboa,LSB
148,"[23029267, 1328753832, 1328753833, 1328753834]",40.18894535,-8.399404116666666,Coimbra,CBR
149,"[23056873, 204234674, 204234675, 204234676, 279679079]",32.659738195833334,-16.919216029166666,Funchal,FNC
150,[23095459],40.22323377272727,-8.411728404545455,Coimbra,CBR
151,[23102747],40.121323413636354,-8.357846290909091,Miranda do Corvo,MCV
152,[23118535],40.17796342727273,-8.681228950000001,Montemor-o-Velho,MMV
153,[23135187],40.22401721034483,-8.442367344827588,Coimbra,CBR
154,"[23139928, 1456302090, 1456302091, 1456302095]",40.61741573870968,-7.761167412903227,Mangualde,MGL
155,"[23139934, 1431188006, 1431188007, 1431188107, 1431188108, 1456109161, 1456109172]",40.585698344,-7.763071128,Mangualde,MGL
156,"[23139936, 1431188010, 1431188011, 1431188104]",40.59247061481482,-7.759117314814815,Mangualde,MGL
157,"[23139957, 1431188038, 1431188039, 1456302093, 1486339137]",40.60958477407407,-7.761515077777776,Mangualde,MGL
158,"[23139961, 1431188008, 1431188009, 1431188105]",40.589245266666666,-7.763687277777778,Mangualde,MGL
159,[23164139],40.13483745789473,-8.507922768421054,Condeixa-a-Nova,CDN
160,[23164142],40.127769195,-8.52704912,Condeixa-a-Nova,CDN
161,[23164179],40.135826868421056,-8.520387363157894,Condeixa-a-Nova,CDN
162,[23164189],40.109300359090916,-8.502732854545455,Condeixa-a-Nova,CDN
163,"[23164210, 1222985420, 1222985421, 1222985422]",40.10877527916667,-8.5046984625,Condeixa-a-Nova,CDN
164,"[23194508, 620108382, 620108385, 1338867658]",40.64213337272727,-7.912521140909091,Viseu,VIS
165,"[23194517, 621737153, 621737154, 621737156, 621737159, 621737162, 1353802288, 1353895326]",40.64758568333333,-7.9113195125,Viseu,VIS
166,[23205244],40.347554994736846,-8.435527452631577,Mealhada,MLD
167,[23206078],40.36868891428572,-8.415460828571431,Mealhada,MLD
168,[23230321],40.55453261428572,-7.2483614,Guarda,GRD
169,"[23230749, 118447560, 118447589, 173772811]",40.54316420869566,-7.258228765217392,Guarda,GRD
170,[23242999],41.77905599565217,-6.779460800000001,Bragança,BGC
171,[23245580],40.210966027272725,-8.456631063636365,Coimbra,CBR
172,"[23247440, 1320159350]",40.626144628125004,-7.4006598906250005,Celorico da Beira,CLB
173,[23254239],40.20283987222222,-8.492185972222222,Coimbra,CBR
174,"[23258183, 629182929, 629182930, 629182931]",40.63013583809524,-7.936060838095237,Viseu,VIS
175,"[23258199, 629182925, 629182926, 629182927, 629182928]",40.63395441904762,-7.930257690476189,Viseu,VIS
176,[23265976],41.8109323117647,-6.747247723529412,Bragança,BGC
177,[23275595],40.354589086956516,-8.450619147826087,Mealhada,MLD
178,"[23275618, 1551721600, 1551721601, 1551721602, 1556745092]",40.381107199999995,-8.451096950000002,Mealhada,MLD
179,[23275633],40.378312403124994,-8.45743529375,Mealhada,MLD
180,[23275993],40.35682949,-8.449247695,Mealhada,MLD
181,[23276062],40.18285331818181,-8.585799954545452,Montemor-o-Velho,MMV
182,[23289371],40.186269960000004,-8.41260214,Coimbra,CBR
183,"[23329169, 1349836790]",41.800287623809524,-6.760711471428571,Bragança,BGC
184,[23329266],41.78391699545455,-6.765599713636362,Bragança,BGC
185,[23359252],41.808026733333335,-6.761042528571427,Bragança,BGC
186,[23360908],41.80768176666667,-6.7643458476190474,Bragança,BGC
187,[23361024],41.8027891625,-6.765380445833333,Bragança,BGC
188,[23376809],40.218560486666675,-8.411106753333334,Coimbra,CBR
189,[23387571],40.15888785,-8.33594150625,Miranda do Corvo,MCV
190,[23387811],40.15806581,-8.34511157,Miranda do Corvo,MCV
191,"[23407546, 1303382158, 1303382159, 1303519284]",41.55670335,-8.410494629166665,Braga,BRG
192,"[23465321, 317809021, 321639583, 321639601]",41.5530134117647,-8.399609405882353,Braga,BRG
193,[23502106],40.113088765,-8.242134435,Lousã,LSA
194,[23517326],37.108464680000004,-8.697071192000001,Lagos,LGS
195,"[23599387, 166775752, 166775776, 166775786, 1025949194, 1349229272]",32.688202435294116,-16.79344952941176,Santa Cruz,SCR
196,"[23600500, 733059831, 872758407, 872758408, 888011196, 888011197]",39.75321029230769,-8.81423651153846,Leiria,LRA
197,"[23600742, 23600745, 23600747, 265848900, 986809835, 986809836, 986809837, 986809838, 986809839, 986809840, 986809841, 986809842]",39.766105265,-8.7780729375,Leiria,LRA
198,"[23612849, 23612852, 99179004, 99179006, 631182920, 631182921, 682804182, 684057706]",38.74821402258064,-9.121034906451614,Lisboa,LSB
199,"[23612944, 631173275, 631173276, 631173292, 631173293, 682171911, 682171912, 682171913, 682709531]",38.74996634210526,-9.105098252631578,Lisboa,LSB
200,"[23636177, 629108079, 629108080, 629145179, 682183035, 682183036, 682189365, 682189366]",38.76819001176471,-9.109969061764705,Lisboa,LSB
201,"[23644801, 772026455, 872758405, 872758406]",39.75155390645161,-8.807314735483871,Leiria,LRA
202,"[23644813, 1070340172, 1070349789, 1070349790, 1070778563]",39.750766819999996,-8.803444984,Leiria,LRA
203,[23645045],39.763821531999994,-8.816677032,Leiria,LRA
204,"[23645300, 778411021, 778411022, 778411023, 1068949293, 1182335535, 1182335536]",39.655311122222216,-8.821515096296297,Batalha,BTL
205,"[23645319, 800905449, 800905450, 800905451, 1068949292]",39.65826734117647,-8.82417824117647,Batalha,BTL
206,[23645360],39.65609228095238,-8.82654962857143,Batalha,BTL
207,"[23660489, 1230032949, 1278893006, 1278893007, 1284514597, 1285184518, 1285184538, 1329794544]",38.72492844166667,-9.234696616666668,Oeiras,OER
208,"[23660966, 1270464842, 1270464843, 1270464849, 1355375543, 1355375546]",38.70062157727273,-8.928843168181817,Montijo,MTJ
209,"[23687191, 1235323362, 1235323363, 1235323364, 1527909381]",38.968504495454546,-8.982454736363637,Vila Franca de Xira,VFX
210,"[23687585, 1101877656, 1292176535, 1339957858, 1339957860, 1340379974]",38.89260574090909,-9.051674754545456,Vila Franca de Xira,VFX
211,"[23687622, 1292176536, 1339957864, 1340292223]",38.89149973,-9.0478165,Vila Franca de Xira,VFX
212,"[23688194, 938619068, 938619069, 938619070, 938619071, 938619072]",38.8408871,-9.163922604166666,Loures,LRS
213,"[23688225, 938619062, 938619063, 938619064, 938619065, 938619066, 938619067, 1235860117]",38.83872238636363,-9.166250027272728,Loures,LRS
214,"[23699797, 156198223, 156198511, 341034789, 1013608485, 1013619143, 1013619144, 1016753860, 1017648506, 1090881985]",38.62374926842106,-9.126149507894738,Seixal,SXL
215,[23701519],38.7135320875,-8.9790711625,Montijo,MTJ
216,"[23718446, 1013368924, 1013380725, 1013380726, 1013434957, 1013435010]",38.67332535,-9.170858725,Almada,ALM
217,[23718597],38.66894438260871,-9.176604186956522,Almada,ALM
218,"[23719377, 1245892675, 1245892676, 1297771418, 1297771419]",38.52037637368421,-9.018817557894737,Setúbal,STB
219,"[23721360, 23721362, 23721369, 228430476, 228430477, 1013435006, 1079348392, 1315433654, 1421103375, 1421103376]",38.66551958285714,-9.19413464,Almada,ALM
220,"[23724223, 1306782022, 1306782023, 1306782060]",38.75658393636364,-9.274723886363633,Sintra,SNT
221,"[23724732, 1013434954, 1013434955, 1013435028, 1023425593, 1023430366]",38.676182349019605,-9.16492339607843,Almada,ALM
222,"[23727523, 1016835601, 1016835602, 1016835615, 1070116435, 1070116441]",38.65916598409091,-9.18797800909091,Almada,ALM
223,"[23727540, 1013434958, 1013434959, 1013435005, 1023415690, 1081267716, 1387356984]",38.66495738076923,-9.197122323076924,Almada,ALM
224,"[23738545, 1278237612, 1278237613, 1278237633]",38.753326848076924,-9.264480009615385,Sintra,SNT
225,"[23738577, 1278237632, 1306782019, 1306782020, 1306782061, 1315366114]",38.755787004000005,-9.26714596,Sintra,SNT
226,[23769767],38.522524704545454,-9.019250468181818,Setúbal,STB
